Category,Text,split
negative,que est n mamando los cules que perdi el madrid vs el tottenham osea el barcelona empato vd olimpiakos ,train
negative,"no se que pensar de este semestre pero estoy me doy de baja , hay profesores a toda madre y chidos en lo que saben hacer ",train
negative,cuaaaaal gorda callate est s hermosa ,train
negative,"joto yo lo digo para que tenga con que comprar sus pr ximos materiales para los siguientes semestres , la tkm ! ",train
negative,la situaci n est tan cabrona que hasta los artistas tienen que hacer colaboraciones con reggaetoneros del momento para poder comer . ,train
negative," bts mwave final dios solo dormi hrs y so e con las votaciones esto me dejara loca , por mi salud porfavor sigan votando por bts twt ",train
negative,pienso en todo y eso es algo bueno pero tambi n malo . . deduzco las cosas demasiado r pido y cualquiera pensar a que estoy loca ,train
negative,"uy mijos , las geom trias me salen igual de feas que yo . ",train
negative, usuario de seguro le falto el camote pare el postre ! ,train
negative, usuario es que est ca on con deadlines tan feas y salarios que parecen de m xico ,train
negative,desde que me despert estoy jugando tetris . perd name por esta vida loca . ,train
negative,ya estoy hasta la puta madre de la cdmx por va vez . ,train
negative," usuario si te gusta la pi a , ojal alg n d a te toque probar el heladito de pi a que hace mi madre para postre p ",train
negative,"b scate una loca , de las de remate . de las que cuando piensas q ya no puede hacer algo m s est pido , va y te sorpre ",train
negative,ser a millonaria si me dieran un peso por cada vez que me la pelan ,train
negative,"me siento bien tonta dejar que algo me haga sentir de la mierda , cuando reci n voy llegando de un evento bien importante y bien motivada . ",train
negative,jajajaja dj sola el rey de la consola se mam con sus rolas jajajajajaja ,train
negative, usuario que ella se haga pendeja as me dijeron que se dice no le quita a l lo nefasto . ,train
negative,"gorda blanca , gorda negra y empanada antojitos anita in boca del rio , veracruz ",train
negative,"gooool putos ! ! ahora los que necesitan puntos los est n perdiendo quien pasar honduras , usa o panam ",train
negative,"mi gata se salt desde el segundo piso , no supo como volver a subir y tuve que salir por ella . . . son las putas am . gata est pida . ",train
negative,no s cansan de decir golfas ? ? . . . qu pedo con esa serie . . xd ,train
negative,todos andan mamando con coco la voy a ver y obvio no voy a llorar pero ver que tal est ,train
negative,cuando te dejan por una luchona te das cuenta de que las expectativas de esa persona no eran ni por cerca de ser altas . ,train
negative,"la excitaci n de algunas mujeres radica en sentirse putas al menos un momento con quien ellas elijan , con usuario ",train
negative,"si vos quer s vivir como una reyna , buscate un groso mamita jajajaj que hdp ",train
negative,"solo vengo a recordarles que todos en esta mesa me la pelan a la hora de tomar . gus , x a os . le gusta tomar . ",train
negative,"ls fotos de sj , me tienen toda loca . no saben cuanto espero este comeback ",train
negative,"se pas de verga jajajaja al inicio me ca a mal , luego la trate y cre que estaba equivocado , pero ah ",train
negative,"m xico pa s lleno de gente luchona , que lo da todo , por mujeres que pelean contra el c ncerdemama y no se rinden , por eso y mas vivam xico ",train
negative,todas las chanclas feas se concentran en el aeropuerto truestory ,train
negative,sabes que me gusta mirar te cuando te estoy mamando . me excita mucho . ,train
negative,ahorita esta sudando la gota gorda ! ,train
negative,"sof a susurra adem s de ser posiblemente joto , , es malhumorado luth lo escucha y se enoja se leva ",train
negative,creo que me volver loca porque no se que canci n es . ,train
negative,"a la mama , me gustan las madruras y se ve que la mama esta mas buena que la hija ",train
negative,axe hace autostop en pelota picada para lanzar su fragancia m s loca leather cookies ,train
negative,la maldita obesidad esta cabrona jajajaja usuario usuario usuario usuario usuario usuario url ,train
negative,porque mierda no puedo ser lo suficientemente hdp en ciertas ocasiones de mi vida ,train
negative,no s por qu la gente que se opera las nalgas se ve muy gorda . ,train
negative, usuario . g o era . una madre as v ,train
negative,"a mi me gusta la pucha pero no de joto , se agradece el detalle un abrazo ",train
negative,como me encanta que sean tan presumidos gay ,train
negative," usuario streccibonito reg lame un bajo o un combo para bajo we , plis qu ha sido lo m s cagado que te ha pasado en un tokin ? ",train
negative, verga ! no la menees as porque es como cuando le tentamos la comida a los animales y se emocionan mil por ello . ,train
negative, usuario jajaja basta de serenatas feas ! ! es yere llegando de la pesa ya sabes ,train
negative, usuario usuario usuario usuario que tontas que no se nos ocurrio ,train
negative,as nosotras usuario como putas dejar de fumar ? ja ja ,train
negative,me da miedo cuando una mama luchona de para abajo me manda solicitud o me sigue en insta . ,train
negative,"lo feo no lo est se quita con maquillaje , pero lo feas y asquerosas que est n las haters por dentro no . ",train
negative,soy la nica maldita gorda que tiene que estar comiendo algo mientras se hace de comer ? ,train
negative,ke verga ahora las salchichas tienen protecci n uta no les baya a dar sida ,train
negative,un hombre que ha sido el indiscutible favorito de su madre mantiene durante su vida el sentimiento de un conquistador . ,train
negative,t t gorda se la vas a poner a todos cuando amanezcas mas nalgona ,train
negative,me encanta usar medias negras sissy travesti pasiva culona pantimedias putita ,train
negative,verga goey . yo siempre que veo a mis compa eritos nanos pienso en ti . lt those bitches ain t that cute . ,train
negative,"ama tu cuerpo de madre tal y como es , trabaja en cambiar lo que puedas y agradece esas huellas que la maternidad te regalan . ",train
negative,una esposa milf as con logita pero chichona y culona y pernuda a poco no quisieran una as url ,train
negative,"tanta topa bonita , que me gustar a ponerme pero no me queda por gorda y fea . ",train
negative,se ve que s cortaron partes de siwon pero me la pelan porque no lo pueden cortar de las tomas grupales . ,train
negative,"gorda nivel , me subo al elevador y se baja . ",train
negative," usuario goeeeeey , s , los odio yo no s qui n les hizo tanto puto da o . ",train
negative,sabes que ya vali madre cuando estornudas cada minutos . ,train
negative,candelas nunca maltrato a nadie gratuitamente como ha hecho miriam con yang . ,train
negative,que rico esa verga es muy rica y hace bien su chamba ! ! ! ,train
negative,"ahora los hombres tienen que andar con cuidado de andar cuidando gente loca , maldita justicia feminista ",train
negative, por qu madre entr a instagram ? a darme en la madre nada m s . ,train
negative,"cada vez que me preguntan a donde quiero viajar a mediano plazo me vuelvo loca , me emociono , me ahhhhhhhhhhh ",train
negative,pero lo malo es que el gobierno se hace de la vista gorda y se quieren parar el cuello con lo que el pueblo ayuda pero en fin . ,train
negative,les juro que es impresionante cuanta gente loca hay en el mundo . ,train
negative, alguien m s est hasta la madre de jesse amp joy ? est en todas putas partes ! ,train
negative,"jajaja si , de hecho estoy acabado loca con tu forma de ser jajajaja te amo m s ",train
negative,"estoy pensando seriamente estudiar otra carrera , soy gay y millenial , pr cticamente estoy en la pubertad . ",train
negative, prom teme que me vas a abrazar y no me vas a soltar . alguien que a n no sabe lo loca que estoy . ,train
negative," usuario usuario usuario jajajaja que poca madre , pobre messi ",train
negative," cuando te llamaron llorona , pobre , gorda o loca y te convirtieron en una desconocida , beb ste su cido y lo ocultaste ",train
negative,"es lo que hay . marranos altaneros , de miradas maliciosas , putas de tetas ca das , nalgas enjutas ebrias de todo . ",train
negative,"est pidas , golfas , pirujas , no tienen derechos ! , zurita en mvs vs madres de familia homozapping ",train
negative,"la cura del joto del barrio no es nada nueva , bye . ",train
negative,todav a quedan hombres rom nticos en este mundo . ,train
negative,re duro en la parada de la plaza de la madre ,train
negative,ese se supone que es mi t pate de yoga y siberia no me lo quiere prestar . si estoy gorda es por qu ella no me deja hacer ejercicio ,train
negative,el bacacho si es lo m s deli . ustedes que se creen buchones y al final se lo terminan mamando . ,train
negative,"es mas facil ser tuitstar que instagramer , pero como valgo verga en todo no consigo ninguna de las dos . ",train
negative,me acostumbr a no vivir con mi mam y estos dos d as que a estado junto a m me est volviendo loca ,train
negative, usuario si lo vi jajajaja me dijiste cosas muy feas ,train
negative,necesito solo unmomentodeldiapara valer verga todo el d a ,train
negative,"a m me llega un pendejo a darme latas de at n , sardina y botes de agua y lo mando a la chingada . . o sea me quede sin casa no estoy a dieta . ",train
negative,amores como amanecieron . yo con unas ganas locas de tener una rica verga en mis hoyitos ,train
negative," usuario super luchona y determinada , te confundes con facilidad , abierta a nuevas ideas , platillo favorito elotes , num de la suerte ",train
negative,"puto desmadre reforma , pito metrobus ! putos todos ! ",train
negative, quieres saber por que quiero acabar con esta loca ? mariaisabel divinahelena teamamostanto usuario ,train
negative,"aunque una ni a tonta se vuelva loca por l , me sigue demostrando cari o , no importa que se vuelva loca . ahora entiendo que es mejor . ",train
negative,milanesa de res con pur de camote y verduras lamorabistrocuernavaca teesperamosacomer url ,train
negative,inhala y exhala mariana a n no puede saber que est s loca . ,train
negative,estoy m s que puesto quiero mamar esos ricos pezones cuando me este cabalgando ,train
negative,dolores la luchona ,train
negative,que no quieren vernos la cara si les caigo mal . . . no sean putas hip critas a la verga . . . ni me digan hay te . . . url ,train
negative,se nota que te pusiste bien triste de que te mand a la verga . ,train
negative,es cierto que las cosas hay que pedirlas de buena forma pero no de una manera marica y cae mal ,train
negative,rt chicochevive se acuerdan cuando juansolo ven a cada quincena a tabasco ? ? ? pues el ya no porque les vale verga los tabasque os ,train
negative,"a firmar la petici n . est pidas , golfas , pirujas , no tienen derechos ! , zurita en mvs contra madres de familia ",train
negative,"nunca hago pedas en mi casa , y el nico d a que hago una , mi tia vecina le quiere hablar a la policia , no te pases de verga . ",train
negative,"tu piel esta suave , tu piel esta caliente , y en tu verga , dime que me siente . ",train
negative," nica comida de los monjes en hua zang si . sopa de tofu , pepinos con salsa de nabo , fideos con col , camote , arroz al vapor , melon . . . ",train
negative, y sigue siendo un hit en las fiestas payaso del rodeo y esas cosas feas ,train
negative,me dijo gorda discretamente ,train
negative,"me espera una semana loca y yo twiteando , deber an quitarme el internet . ",train
negative,"lo qu pasa es que la gente cree que el reggaeton solo trata de sexo , putas , dinero y alcohol . ",train
negative,when mi t o a por mi a la escuela de regreso a casa me deja agarrarle la verga es tan lindo fetish verga hot url ,train
negative,pero que putas hacen esos argentinos hablando como espa oles . ? ,train
negative,hahahaha me estoy volviendo loca . probablemente ya lo estoy y no me han dicho . teztrano jeje . ,train
negative,soy el clint eastwood de los puentes de madison en todas las putas historias de amor que me han tocado . ,train
negative,its a secret . hasta que sepa si es gay o no jajaj ,train
negative,necaxa necesita que gane tiburones y pachuca ya nos cargo la verga ,train
negative," sonr ele a todos , no es necesario que todos sepan que te pelan la verga . ",train
negative,todav a me acuerdo de cuando usuario dec a cosas feas de ra l padilla . ,train
negative,"baia baia me est n perdiendo amigos , ya vali madre esto hahaha ",train
negative,"qu date con el que cuando le preguntes si te ves gorda , tome tu mano , la ponga en su reata y diga t no est s gorda , gorda me pones esta . ",train
negative,"ojal pudieran so ar mis sue os para que vean que est n bien locos a la verga pero hay alcohol , putas y fiesta everywhere . ",train
negative,"el d a que te vuelva a ver y no se me pare , preocupate . porque ya vali verga . ",train
negative,"si a mi una persona me ignora , pura madre le voy a andar rogando . jajajajaja . esas mamadas nel . ",train
negative,"supongo que yo ser una loca para ellas , alguien que no quiere cumplir con su papel de mujer buena . ",train
negative," usuario jajajaja paren de mamar hay que saber leer cuando algo es sarcasmo y cuando no , lo digo por qu quiero que el azul la cague otra vez ",train
negative,"me pregunt , qu me falta para gustarte y que no me dejes en seen ? pero record que soy la verga y que no me falta nada ",train
negative,el solecito de skype me representa bien cabr n . ,train
negative,"ah que putos , le voy a avisar a usuario que le est n pedaleando su bicicleta ",train
negative,belinda dej bien ardido a criss angel . ,train
negative,"actualmente tengo mucho sue o , pero mi mente es tan cabrona que si me acuesto se me ira ",train
negative,"te llevar a conmigo , pero me esta llevando la verga , y no quiero llevarte all . ",train
negative, usuario o cuando te quitan el follow puto universo jajaja ,train
negative,ya vas a mamar ? esperate minimo a que lleguemos al para entregarle las nalgas al pri ,train
negative,sabes que vali madre cuando ya no te da las buenas noches ,train
negative, esdecaballeros no tener tiempo de explicar explicaciones tontas usuario usuario ,train
negative,"te bloquean de todos lados , neta ni loca pensaba mandarte mensaje jajajajajaja ",train
negative, si te quiere vendr por ti le dijeron a ella . si la quieres d jala ir le dijeron a el . moraleja putos amigos cabrones . ,train
negative,"tr nsito porquer a desde san lucas , me llevan las putas . ",train
negative,me encantan las fiestas de pueblo me recagan los putos cuetes . ,train
negative,"aaah es que no ma amor , cuando llegu un coche estacionado puso la alerta alarma sismica y yo como alv putos ",train
negative,qu d bil debe ser su lucha que las obliga a empujar al diferente que no un disidente . ,train
negative,mi madre anda bien entrada chateando a trav s de los comentarios de facebook . ,train
negative, sa tania tan inocente qu sebe siempre me vuelve loca usuario taniarin ,train
negative,ya han pasado putas pel culas que he querido ver en el cine pero no he ido . ,train
negative,no mamen en fb comparten cosas feas para meter m s miedo como joden encima q mi familia se lo cree y chinga ,train
negative, delinframundo deben saber que los vampiros no se enamorar ni andan von hombres lobo . . . putas basuras ,train
negative,madre m a ! gracias dios ! ,train
